exploitation_likelihood,patch_available,overdue,asset_internet_facing,outcome
High,True,True,True,Immediate
High,True,True,False,Immediate
High,True,True,,Immediate
High,True,False,True,Immediate
High,True,False,False,Immediate
High,True,False,,Immediate
High,False,True,True,Immediate
High,False,True,False,Immediate
High,False,True,,Immediate
High,False,False,True,Immediate
High,False,False,False,Immediate
High,False,False,,Immediate
High,,True,True,Immediate
High,,True,False,Immediate
High,,True,,Immediate
High,,False,True,Immediate
High,,False,False,Immediate
High,,False,,Immediate
Medium,True,True,True,Immediate
Medium,True,True,False,Immediate
Medium,True,True,,Immediate
Medium,True,False,True,Scheduled
Medium,True,False,False,Scheduled
Medium,True,False,,Scheduled
Medium,False,True,True,Scheduled
Medium,False,True,False,Scheduled
Medium,False,True,,Scheduled
Medium,False,False,True,Scheduled
Medium,False,False,False,Scheduled
Medium,False,False,,Scheduled
Medium,,True,True,Scheduled
Medium,,True,False,Scheduled
Medium,,True,,Scheduled
Medium,,False,True,Scheduled
Medium,,False,False,Scheduled
Medium,,False,,Scheduled
Low,True,True,True,Scheduled
Low,True,True,False,Scheduled
Low,True,True,,Scheduled
Low,True,False,True,Monitor
Low,True,False,False,Monitor
Low,True,False,,Monitor
Low,False,True,True,Monitor
Low,False,True,False,Monitor
Low,False,True,,Monitor
Low,False,False,True,Monitor
Low,False,False,False,Monitor
Low,False,False,,Monitor
Low,,True,True,Monitor
Low,,True,False,Monitor
Low,,True,,Monitor
Low,,False,True,Monitor
Low,,False,False,Monitor
Low,,False,,Monitor
Unknown,True,True,True,Immediate
Unknown,True,True,False,Scheduled
Unknown,True,True,,Scheduled
Unknown,True,False,True,Scheduled
Unknown,True,False,False,Scheduled
Unknown,True,False,,Scheduled
Unknown,False,True,True,Immediate
Unknown,False,True,False,Scheduled
Unknown,False,True,,Scheduled
Unknown,False,False,True,Monitor
Unknown,False,False,False,Monitor
Unknown,False,False,,Monitor
Unknown,,True,True,Immediate
Unknown,,True,False,Scheduled
Unknown,,True,,Scheduled
Unknown,,False,True,Monitor
Unknown,,False,False,Monitor
Unknown,,False,,Monitor
